Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,71,2,0,0,0,4,3,1,0,1,0,0,0,0,0,0,,,182.0
José Enamorado,99.0,co COL,MF,25,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,55.0
Deiber Caicedo,20.0,co COL,AM,23,84,0,0,0,0,1,0,0,0,0,1,0,4,1,1,0,,,349.0
Johan Bocanegra,27.0,co COL,MF,25,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,140.0
Roberto Hinojosa,80.0,co COL,AM,24,85,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,,,250.0
Vladimir Hernández,16.0,co COL,"FW,MF",35,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,29.0
Víctor Cantillo,24.0,co COL,AM,30,60,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,,,145.0
Homer Martínez,14.0,co COL,"DF,MF",26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,154.0
Steven Rodríguez,23.0,co COL,DM,25,90,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,,,147.0
Didier Moreno,6.0,co COL,DM,32,90,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,,,175.0
Gabriel Fuentes,12.0,co COL,LB,27,90,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,28.0
Jermein Peña,28.0,co COL,CB,24,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,144.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,,,341.0
Walmer Pacheco,21.0,co COL,RB,29,60,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,,,52.0
Edwin Herrera,3.0,co COL,DF,25,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,188.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,184.0
