Ronda,Sem.,Día,Fecha,Hora,Local,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
Apertura — Primera etapa,1.0,Vie,2024-01-19,18:00,Boyacá Patriot,0–1,Jaguares,,Estadio de la Independencia,Jonathan Ortíz,Informe del partido
Apertura — Primera etapa,1.0,Sáb,2024-01-20,16:00,Once Caldas,2–1,Boyacá Chicó,,Estadio Palogrande,Wander Mosquera,Informe del partido
Apertura — Primera etapa,1.0,Sáb,2024-01-20,18:10,Tolima,1–2,Fortaleza FC,,Estadio Manuel Murillo Toro,Ferney Trujillo,Informe del partido
Apertura — Primera etapa,1.0,Vie,2024-01-19,20:15,Pereira,2–2,AD Cali,,Estadio Hernán Ramírez Villegas,Jorge Duarte,Informe del partido
Apertura — Primera etapa,1.0,Dom,2024-01-21,16:00,Millonarios,5–0,Independiente,,Estadio Nemesio Camacho El Campín,Bismark Santiago,Informe del partido
Apertura — Primera etapa,1.0,Dom,2024-01-21,18:10,Junior,2–0,CA Bucaramanga,,Estadio Metropolitano Roberto Meléndez,Héctor Rivera,Informe del partido
Apertura — Primera etapa,1.0,Sáb,2024-01-20,20:20,CD América,0–1,Rionegro,,Estadio Olímpico Pascual Guerrero,Nicolás Gallo,Informe del partido
Apertura — Primera etapa,1.0,Lun,2024-01-22,18:10,La Equidad,0–0,Envigado,500.0,Estadio Metropolitano de Techo,Alexander Ortiz,Informe del partido
Apertura — Primera etapa,1.0,Dom,2024-01-21,20:20,Nacional,3–1,Alianza,,Estadio Atanasio Girardot,Luis G. Matorel,Informe del partido
Apertura — Primera etapa,1.0,Lun,2024-01-22,20:20,Pasto,0–1,Santa Fe,,Estadio Departamental Libertad,Luis Delgado,Informe del partido
Apertura — Primera etapa,2.0,Jue,2024-01-25,18:10,Fortaleza FC,2–0,Boyacá Patriot,,Estadio Metropolitano de Techo,Carlos Ortega,Informe del partido
Apertura — Primera etapa,2.0,Vie,2024-01-26,18:10,Pasto,1–4,Tolima,5000.0,Estadio Departamental Libertad,Juan Alba,Informe del partido
Apertura — Primera etapa,2.0,Jue,2024-01-25,20:20,Rionegro,1–0,Once Caldas,,Estadio Alberto Grisales,Jhon Hinestroza,Informe del partido
Apertura — Primera etapa,2.0,Sáb,2024-01-27,16:00,Santa Fe,3–1,Envigado,,Estadio Nemesio Camacho El Campín,Yahir Cárdenas,Informe del partido
